ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
1,á-chṳ̂,á-chṳ̂,a3-chii1,[a˧˩] [tsɨ˨˦],ékáu,é-káu,áchṳ̂,啞chṳ̂,啞口,啞巴
2,Â-chû,Â-chû,A1-chu1,[a˨˦] [tsu˨˦],Achiu,A-chiu,Âchû,亞洲,亞洲,亞洲
3,â-khiû,â-khiû,a1-khiu1,[a˨˦] [kʰiu˨˦],a'kū,a-kū,â'khiû,阿舅,阿舅,舅舅
4,â-khóa,â-khóa,a1-khoa3,[a˨˦] [kʰoa˧˩],kioe,ki-oe,âkhóa,椏桍,枝椏,枝椏
5,á-kiéu,á-kiéu,a3-kieu3,[a˧˩] [kieu˧˩],ékáu,é-káu,ákiéu,啞狗,啞口,啞巴
6,â-kô,â-kô,a1-ko1,[a˨˦] [ko˨˦],a'hiaⁿ,a-hiaⁿ,âkô,阿哥,阿兄,哥哥
7,â-kô-é,â-kô-é,a1-ko1-e3,[a˨˦] [ko˨˦] [e˧˩],siàuliânke,siàu-liân-ke,â'kô'é,阿哥é,少年家,年輕的男子
8,â-kû,â-kû,a1-ku1,[a˨˦] [ku˨˦],a'ko͘,a-ko͘,â'kû,阿姑,阿姑,姑姑
9,â-kûng,â-kûng,a1-kung1,[a˨˦] [kuŋ˨˦],a'kong,a-kong,âkûng,阿公,阿公,祖父
10,â-kûng-phò,â-kûng-phò,a1-kung1-pho2,[a˨˦] [kuŋ˨˦] [pʰo˩˩],chó͘sian,chó͘-sian,âkûngphò,阿公婆,祖先,祖先
11,â-kûng-phò-phài,â-kûng-phò-phài,a1-kung1-pho2-phai2,[a˨˦] [kuŋ˨˦] [pʰo˩˩] [pʰai˩˩],kongmá pâi,kong-má pâi,âkûngphò phài,阿公婆牌,公媽牌,祖先牌位
12,Â-lî-sân,Â-lî-sân,A1-li1-san1,[a˨˦] [li˨˦] [san˨˦],Alísan,A-lí-san,Âlîsân,阿里山,阿里山,阿里山
13,á-mà,á-mà,a3-ma2,[a˧˩] [ma˩˩],amôa,am-ôa,ámà,亞麻,亞麻,亞麻
14,â-mê,â-mê,a1-me1,[a˨˦] [me˨˦],lāubú,lāu-bú,âmê,阿姆,老母,母親
15,â-mê-fa,â-mê-fa,a1-me1-fa4,[a˨˦] [me˨˦] [fa˥˥],bógí,bó-gí,âmêfa,阿姆話,母語,母語
