ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
1,á-chṳ̂,áchṳ̂,啞chṳ̂,ékáu,啞口,啞巴
2,Â-chû,Âchû,亞洲,Achiu,亞洲,亞洲
3,â-khiû,â'khiû,阿舅,a'kū,阿舅,舅舅
4,â-khóa,âkhóa,椏桍,kioe,枝椏,枝椏
5,á-kiéu,ákiéu,啞狗,ékáu,啞口,啞巴
6,â-kô,âkô,阿哥,a'hiaⁿ,阿兄,哥哥
7,â-kô-é,â'kô'é,阿哥é,siàuliânke,少年家,年輕的男子
8,â-kû,â'kû,阿姑,a'ko͘,阿姑,姑姑
9,â-kûng,âkûng,阿公,a'kong,阿公,祖父
10,â-kûng-phò,âkûngphò,阿公婆,chó͘sian,祖先,祖先
11,â-kûng-phò-phài,âkûngphò phài,阿公婆牌,kongmá pâi,公媽牌,祖先牌位
12,Â-lî-sân,Âlîsân,阿里山,Alísan,阿里山,阿里山
13,á-mà,ámà,亞麻,amôa,亞麻,亞麻
14,â-mê,âmê,阿姆,lāubú,老母,母親
15,â-mê-fa,âmêfa,阿姆話,bógí,母語,母語
16,â-mê-ôi,â'mê ôi,阿姆ôi,an'niâ oeh,安娘oeh,我的媽呀
17,â-mén,âmén,阿們,amén,阿們,阿們
18,â-mí-kâ,âmíkâ,亞米茄,omega,亞米茄,亞米茄
19,â-moi,âmoi,阿妹,siómōe,小妹,妹妹
20,â-moi-é,â'moi'é,阿妹é,siàulú,少女,"""年輕的女孩"
21,â-ngì-fap,ângìfap,阿爾法,alhoah,阿爾法,阿爾法
22,â-ô,â-ô,啊噢,ai-ioh,ai-ioh,唉呦
23,â-pâ,â'pâ,阿爸,a'pa,阿爸,爸爸
24,â-pak,â'pak,阿伯,a'peh,阿伯,伯父
25,â-phò,â'phò,阿婆,a'má,阿媽,祖母
26,â-phò-thai,â'phòthai,阿婆太,a'thài,阿太,曾祖母
27,â-pu̍t-to,âpu̍tto,阿pu̍t倒,aputtó'á,阿不倒á,不倒翁
28,â-só,â'só,阿嫂,a'só,阿嫂,嫂嫂
29,â-suk,â'suk,阿叔,a'chek,阿叔,叔叔
30,â-thai,âthai,阿太,a'thài,阿太,曾祖
31,â-yì,â'yì,阿姨,a'î,阿姨,阿姨
32,âi,âi,挨,e óa,挨óa,靠近
33,ái-châi,áichâi,唉哉,aichai,哀哉,唉哉
34,âi-châi,âichâi,唉哉,aichai,哀哉,唉哉
35,ái-chhiòng,ái chhiòng,矮牆,é chhiûⁿ,矮牆,矮牆
36,ái-chok,ái chok,矮桌,é toh'á,矮桌,矮桌
37,ai-héu,aihéu,隘口,àikháu,隘口,隘口
38,âi-hièn-é,âihièn'é,挨弦é,e hiân'á,挨弦á,拉胡琴
39,âi-kiâm-lòi,âikiâm lòi,挨兼來,kho͘ óa lâi,靠óa lâi,靠近
40,âi-lùng,âi lùng,挨礱（海陸）,e thô͘lâng,挨土礱,碾榖
41,ái-se,áise,矮細,ékó͘,矮股,身材矮小
42,ái-su,ái su,矮樹,é chhiū,矮樹,矮樹
43,ái-tún,áitún,矮頓,é kó͘tóng,矮股董,身材矮胖
44,ái-tut-tut,ái tuttut,矮tut-tut,é tuhtuh,矮tuhtuh,矮小
45,âi-yô,âi-yô,哀喲,ai-ioh,哀喲,哀喲
46,ai-yúng,aiyúng,隘勇,àiióng,隘勇,守隘口的壯丁
47,ak-sú,aksú,扼手,at chhiú,at手,握手
48,am-chhà,amchhà,暗查,àmchhâ,暗查,暗查
49,am-chhôn,amchhôn,暗餐,àmtǹg,暗頓,晚餐
50,am-chûng,amchûng,暗中,àmtiong,暗中,暗中
51,am-fóng,amfóng,暗訪,àmhóng,暗訪,暗訪
52,am-ho,amho,暗號,àmhō,暗號,暗號
53,âm-kông,âmkông,醃缸,amkng,am缸,醃缸
54,am-phu,amphu,暗步,àmpō͘,暗步,詭計
55,am-pû,ampû,暗晡,êngàm,êng暗,晚上
56,am-pû-sṳ̀,ampûsṳ̀,暗晡時,àmsî'á,暗時á,晚上
57,am-pû-thèu,ampûthèu,暗晡頭,àmthâu'á,暗頭á,晚上
58,am-sat,amsat,暗殺,àmsat,暗殺,暗殺
59,am-son,amson,暗算,àmsǹg,暗算,暗算
60,am-sṳ,amsṳ,暗示,àmsī,暗示,暗示
61,am-thet,amthet,暗掉,àm khì,暗去,暗掉
62,am-ya,amya,暗夜,àmmê,暗暝,晚上
63,án-chhàu,án chhàu,án吵,hiah chhá,hiah吵,那麼吵
64,án-chheu,án chheu,án瘦,hiah sán,hiah瘦,那麼瘦
65,án-chhòng,án chhòng,án長,hiah tn̂g,hiah長,那麼長
66,án-chhû,án chhû,án粗,hiah chho͘,hiah粗,那麼粗
67,án-chhṳ̂m,án chhṳ̂m,án深,hiah chhim,hiah深,那麼深
68,án-chhûng,án chhûng,án重,hiah tāng,hiah重,那麼重
69,án-chhṳ̍t,án chhṳ̍t,án直,hiah ti̍t,hiah直,那麼直
70,án-chiâng,án chiâng,án靚,hiah súi,hiah súi,那麼漂亮
71,án-chó,án chó,án早,gâu chá,gâu早,早安
72,án-chṳ́-se,ánchṳ́se,án仔細,ló͘la̍t,ló͘la̍t,謝謝
73,án-fái,án fái,án壞,hiah hāi,hiah害,那麼壞
74,án-fat,án fat,án闊,hiah khoah,hiah闊,那麼寬
75,án-fùng,án fùng,án紅,hiah âng,hiah紅,那麼紅
76,án-hióng,án hióng,án響,hiah hiáng,hiah響,那麼響
77,án-hiông,án hiông,án香,hiah phang,hiah芳,那麼香
78,án-hó,án hó,án好,hiah hó,hiah好,那麼好
79,án-kám,án kám,án敢,hiah káⁿ,hiah敢,那麼敢
80,án-khioi,án khioi,ánkhioi,hiah thiám,hiah thiám,那麼累
81,án-khiòng,án khiòng,án強,hiah kiông,hiah強,那麼強
82,án-khiûn,án khiûn,án近,hiah kīn,hiah近,那麼近
83,án-kiak,án kiak,án遽,hiah kín,hiah緊,那麼快
84,án-kiâng,án kiâng,án驚,hiah kiaⁿ,hiah驚,那麼怕
85,án-kiú,án kiú,án久,hiah kú,hiah久,那麼久
86,án-kiú hó-mò,ánkiú hómò,恁久好無,chòekīn hó bô,最近好無,近來好嗎
87,án-kiú mò-khon-tó,ánkiú mò khontó,恁久無看到,chin kú bô kìⁿbīn,好久不見,好久不見
88,án-kô,án kô,án高,hiah koân,hiah koân,那麼高
89,án-kông,án kông,án光,hiah kng,hiah光,那麼亮
90,án-kui,án kui,án貴,hiah kùi,hiah貴,那麼貴
91,án-lat,án lat,án炙,hiah joa̍h,hiah熱,那麼炎熱
92,án-li,án li,án利,hiah lāi,hiah利,那麼利
93,án-ló,án ló,án老,hiah lāu,hiah老,那麼老
94,án-man,án man,án慢,hiah bān,hiah慢,那麼慢
95,án-nàn,án nàn,án難,hiah oh,hiah oh,那麼難
96,án-nâu,án nâu,án惱,hiah hoân,hiah煩,那麼討厭
97,án-ngang,án ngang,án硬,hiah ngē,hiah硬,那麼硬
98,án-ngiàm,án ngiàm,án嚴,hiah giâm,hiah嚴,那麼嚴格
99,án-ngio̍k,án ngio̍k,án弱,hiah lám,hiah lám,那麼弱
100,án-ngióng,ánngióng,án樣,ánne,ánne,這樣
101,án-ngong,án ngong,án戇,hiah gōng,hiah戇,那麼笨
102,án-ok,án ok,án惡,hiah hiông,hiah hiông,那麼兇惡
103,án-pha̍k,án pha̍k,án白,hiah pe̍h,hiah白,那麼白
104,án-phì,án phì,án肥,hiah pûi,hiah肥,那麼肥
105,án-se,án se,án細,hiah sè,hiah細,那麼細
106,án-séu,án séu,án少,hiah chió,hiah少,那麼少
107,án-sîn,án sîn,án新,hiah sin,hiah新,那麼新
108,án-sôi,án sôi,án衰,hiah soe,hiah衰,那麼倒楣
109,án-sùn,án sùn,án純,hiah sûn,hiah純,那麼純
110,án-thai,án thai,án大,hiah tōa,hiah大,那麼大
111,án-thiám,án thiám,án痶,hiah thiám,hiah thiám,那麼累
112,án-thiàm,án thiàm,án甜,hiah tiⁿ,hiah甜,那麼甜
113,án-thu̍k,án thu̍k,án毒,hiah to̍k,hiah毒,那麼毒
114,án-thun,án thun,án鈍,hiah tun,hiah鈍,那麼鈍
115,án-thung,án thung,án痛,hiah thiàⁿ,hiah痛,那麼痛
116,án-tô,án tô,án多,hiah chē,hiah chē,那麼多
117,án-voi,án voi,án會,hiah gâu,hiah gâu,那麼會
118,án-vû,án vû,án烏,hiah o͘,hiah烏,那麼黑
119,án-yén,án yén,án遠,hiah hn̄g,hiah遠,那麼遠
120,án-nun,án nun,án嫩,hiah iù,hiah幼,那麼幼小
121,âng-é,âng'é,盎é,àng'á,甕á,甕
122,âng-é-nài,âng'é nài,盎é泥,liâmthô͘,黏土,黏土
123,âng-tú,âng tú,甕肚,àng'á lāi,甕á內,甕裡
124,ap-chhiâng,apchhiâng,鴨青,iùkhí,幼齒,年輕未成熟的
125,ap-chiú-chhṳ̀,apchiúchhṳ̀,壓酒池,ap chiútî,壓酒池,壓酒池
126,ap-chṳ,apchṳ,壓制,apchè,壓制,壓制
127,ap-é,ap'é,鴨é,ah'á,鴨á,鴨子
128,ap-kîm,apkîm,押金,ahkim,押金,押金
129,ap-kûng-sâng,apkûng sâng,鴨公聲,ahkang siaⁿ,鴨公聲,聲音粗濁
130,ap-li̍t,apli̍t,壓力,aple̍k,壓力,壓力
131,ap-àû-vòng,apmá vòng,鴨mà王,Ahbó ông,鴨母王,鴨母王
132,ap-pet,appet,壓迫,appek,壓迫,壓迫
133,ap-sung,apsung,押送,ahsàng,押送,押送
134,ap-vang,apvang,壓橫,si aple̍k,施壓力,由上而下施加壓力
135,at-sí,atsí,閼死,khìsí,氣死,氣死
136,at-to,atto,閼到,khì kah,氣kah,氣到
137,âu-hâ-hi,âu hâhi,凹下去,naih lo̍h khì,凹落去,凹下去
138,áu-hâ-lòi,áu hâlòi,拗下來,áu lo̍h lâi,拗落來,摘取
139,âu-màn,âumàn,拗蠻,áubân,拗蠻,相當/非常
140,áu-thet,áu thet,拗掉,áu tiāu,拗掉,折掉
141,áu-thôn,áu thôn,拗斷,áu tn̄g,拗斷,折斷
142,áu-vân,áu vân,拗彎,áu oan,拗彎,折彎
143,áu-yêu,áu yêu,彎腰,àⁿ io,àⁿ腰,彎腰
